,molecule_chembl_id,canonical_smiles,mo_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50,standard_value,Max Phase,approve_class
5587,CHEMBL1645470,Cc1cccc(Nc2ncnn3ccc(CN4CCC(N)CC4)c23)c1,active,336.443,2.70442,2,6,8.301029996,5,0,non-approve
5588,CHEMBL1645471,Cc1ccc(Nc2ncnn3ccc(CN4CCC(N)CC4)c23)cc1,active,336.443,2.70442,2,6,8.22184875,6,0,non-approve
5589,CHEMBL1645472,NC1CCN(Cc2ccn3ncnc(Nc4cccc(F)c4)c23)CC1,active,340.406,2.5351,2,6,8.22184875,6,0,non-approve
5590,CHEMBL1645476,NC1CCN(Cc2ccn3ncnc(Nc4ccc(F)c(Cl)c4)c23)CC1,active,374.851,3.1885,2,6,8.22184875,6,0,non-approve
5591,CHEMBL1645466,C#Cc1cccc(Nc2ncnn3ccc(CN4CCC(N)CC4)c23)c1,active,346.438,2.3773,2,6,8.15490196,7,0,non-approve
5592,CHEMBL1645467,NC1CCN(Cc2ccn3ncnc(Nc4ccccc4)c23)CC1,active,322.416,2.396,2,6,8.045757491,9,0,non-approve
5593,CHEMBL1645465,C#Cc1cccc(Nc2ncnn3ccc(COC[C@@H]4CNCCO4)c23)c1,active,363.421,1.9592,2,7,7.698970004,20,0,non-approve
5594,CHEMBL1645469,Cc1ccccc1Nc1ncnn2ccc(CN3CCC(N)CC3)c12,active,336.443,2.70442,2,6,7.698970004,20,0,non-approve
5595,CHEMBL1645475,NC1CCN(Cc2ccn3ncnc(Nc4cc(Cl)cc(Cl)c4)c23)CC1,active,391.306,3.7028,2,6,7.468521083,34,0,non-approve
5596,CHEMBL1645477,COc1ccc(Nc2ncnn3ccc(CN4CCC(N)CC4)c23)cc1Cl,active,386.887,3.058,2,7,7.15490196,70,0,non-approve
5597,CHEMBL1645464,Cn1ncc2cc(Nc3ncnn4ccc(CN5CCC(N)CC5)c34)ccc21,active,376.468,2.2827,2,8,6.443697499,360,0,non-approve
5598,CHEMBL1645468,CC(C)Nc1ncnn2ccc(CN3CCC(N)CC3)c12,active,288.399,1.4727,2,6,6.055517328,880,0,non-approve
5599,CHEMBL1645463,Cn1ncc2cc(Nc3ncnn4ccc(COC[C@@H]5CNCCO5)c34)ccc21,active,393.451,1.8646,2,9,6,1000,0,non-approve
5600,CHEMBL2012519,COc1cc(O)c2c(c1)CCC[C@H](O)[C@H](O)C(=O)/C=C\C[C@H](C)OC2=O,inactive,364.394,1.5196,3,7,5,10000,0,non-approve
5601,CHEMBL1651521,COc1cc(O)c2c(c1)CCC[C@H](O)CC(=O)/C=C\C[C@H](C)OC2=O,inactive,348.395,2.5488,2,6,5,10000,0,non-approve
5602,CHEMBL1683949,Cc1cc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)ncn1,intermediate,343.789,4.90012,1,4,5.187086643,6500,0,non-approve
5603,CHEMBL1683950,Fc1cccc(COc2ccc(Nc3cc(-c4ccccc4)ncn3)cc2Cl)c1,intermediate,405.86,6.2587,1,4,5.200659451,6300,0,non-approve
5604,CHEMBL1683951,Fc1cccc(COc2ccc(Nc3cc(-c4cccnc4)ncn3)cc2Cl)c1,inactive,406.848,5.6537,1,5,4,100000,0,non-approve
5605,CHEMBL1683952,Fc1cccc(COc2ccc(Nc3cc(-c4ccsc4)ncn3)cc2Cl)c1,inactive,411.889,6.3202,1,5,4.443697499,36000,0,non-approve
5606,CHEMBL1683953,Fc1cccc(COc2ccc(Nc3cc(N4CCCC4)ncn3)cc2Cl)c1,inactive,398.869,5.1919,1,5,4,100000,0,non-approve
5607,CHEMBL1683954,Fc1cccc(COc2ccc(Nc3cc(Oc4ccccc4)ncn3)cc2Cl)c1,inactive,421.859,6.384,1,5,4,100000,0,non-approve
5608,CHEMBL1683955,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C,active,357.816,5.20854,1,4,6.853871964,140,0,non-approve
5609,CHEMBL1683956,CCc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C,intermediate,371.843,5.46252,1,4,5.537602002,2900,0,non-approve
5610,CHEMBL1683957,Cc1c(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)ncnc1-c1ccccc1,inactive,419.887,6.56712,1,4,4.187086643,65000,0,non-approve
5611,CHEMBL1683958,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1/C=N/OCCN1CCOCC1,active,499.974,4.58282,1,8,6.13076828,740,0,non-approve
5612,CHEMBL1683959,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1/C=N/OCCCN1CCOCC1,intermediate,514.001,4.97292,1,8,5.744727495,1800,0,non-approve
5613,CHEMBL1683960,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1-c1cccc(CN2CCOCC2)c1,intermediate,519.02,6.39932,1,6,5.425968732,3750,0,non-approve
5614,CHEMBL1683961,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#CCCCN1CCOCC1,active,494.998,5.36402,1,6,6.823908741,150,0,non-approve
5615,CHEMBL1683962,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#Cc1ccc(CN2CCOCC2)cc1,active,543.042,6.13212,1,6,6.356547324,440,0,non-approve
5616,CHEMBL1683963,C/C(=C\c1c(C)ncnc1Nc1ccc(OCc2cccc(F)c2)c(Cl)c1)C(=O)NCCN1CCOCC1,active,540.039,4.75182,2,7,7.091514981,81,0,non-approve
5617,CHEMBL1683964,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1/C=C/c1ccc(CN2CCOCC2)cc1,active,545.058,6.90272,1,6,6.721246399,190,0,non-approve
5618,CHEMBL1683965,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1/C=C(\F)C(=O)NCCN1CCOCC1,active,544.002,4.65892,2,7,7.107905397,78,0,non-approve
